IATA_CODE	STATE	DELAY
ABE	PA	60
ABI	TX	46
ABQ	NM	182
ABR	SD	13
ABY	GA	5
ACK	MA	0
ACT	TX	28
ACV	CA	32
ACY	NJ	22
ADK	AK	4
ADQ	AK	16
AEX	LA	41
AGS	GA	62
AKN	AK	0
ALB	NY	120
ALO	IA	14
AMA	TX	53
ANC	AK	186
APN	MI	10
ASE	CO	248
ATL	GA	3258
ATW	WI	62
AUS	TX	514
AVL	NC	145
AVP	PA	55
AZO	MI	37
BDL	CT	221
BET	AK	15
BFL	CA	37
BGM	NY	7
BGR	ME	34
BHM	AL	195
BIL	MT	27
BIS	ND	64
BJI	MN	9
BLI	WA	12
BMI	IL	47
BNA	TN	680
BOI	ID	211
BOS	MA	1369
BPT	TX	12
BQK	GA	6
BQN	PR	49
BRD	MN	8
BRO	TX	15
BRW	AK	8
BTM	MT	2
BTR	LA	95
BTV	VT	114
BUF	NY	215
BUR	CA	258
BWI	MD	933
BZN	MT	103
CAE	SC	100
CAK	OH	92
CDC	UT	2
CDV	AK	12
CEC	CA	0
CHA	TN	78
CHO	VA	98
CHS	SC	217
CID	IA	183
CIU	MI	8
CLD	CA	0
CLE	OH	401
CLL	TX	14
CLT	NC	3587
CMH	OH	403
CMI	IL	47
CMX	MI	11
CNY	UT	6
COD	WY	0
COS	CO	81
COU	MO	24
CPR	WY	4
CRP	TX	67
CRW	WV	65
CSG	GA	9
CVG	KY	420
CWA	WI	33
DAB	FL	16
DAL	TX	636
DAY	OH	160
DBQ	IA	18
DCA	VA	1665
DEN	CO	2474
DFW	TX	4480
DHN	AL	15
DIK	ND	0
DLG	AK	0
DLH	MN	45
DRO	CO	35
DSM	IA	252
DTW	MI	1566
DVL	ND	3
EAU	WI	9
ECP	FL	38
EGE	CO	92
EKO	NV	6
ELM	NY	17
ELP	TX	152
ERI	PA	7
ESC	MI	14
EUG	OR	69
EVV	IN	42
EWN	NC	27
EWR	NJ	2111
EYW	FL	111
FAI	AK	40
FAR	ND	128
FAT	CA	120
FAY	NC	66
FCA	MT	33
FLG	AZ	19
FLL	FL	1309
FNT	MI	44
FSD	SD	122
FSM	AR	30
FWA	IN	76
GCC	WY	5
GCK	KS	13
GEG	WA	150
GFK	ND	27
GGG	TX	15
GJT	CO	39
GNV	FL	74
GPT	MS	61
GRB	WI	76
GRI	NE	12
GRK	TX	49
GRR	MI	247
GSO	NC	179
GSP	SC	208
GST	AK	0
GTF	MT	11
GTR	MS	13
GUC	CO	16
GUM	GU	5
HDN	CO	61
HIB	MN	8
HLN	MT	8
HNL	HI	493
HOB	NM	13
HOU	TX	508
HPN	NY	164
HRL	TX	35
HSV	AL	112
HYA	MA	0
HYS	KS	16
IAD	VA	711
IAG	NY	9
IAH	TX	1893
ICT	KS	103
IDA	ID	25
ILG	DE	0
ILM	NC	80
IMT	MI	10
IND	IN	442
INL	MN	7
ISN	ND	0
ISP	NY	40
ITH	NY	11
ITO	HI	31
JAC	WY	108
JAN	MS	109
JAX	FL	261
JFK	NY	1214
JLN	MO	31
JMS	ND	2
JNU	AK	84
KOA	HI	156
KTN	AK	46
LAN	MI	42
LAR	WY	6
LAS	NV	1612
LAW	OK	20
LAX	CA	2338
LBB	TX	81
LBE	PA	8
LCH	LA	13
LEX	KY	94
LFT	LA	53
LGA	NY	1809
LGB	CA	127
LIH	HI	111
LIT	AR	172
LNK	NE	31
LRD	TX	19
LSE	WI	38
LWS	ID	2
MAF	TX	81
MBS	MI	26
MCI	MO	592
MCO	FL	1759
MDT	PA	52
MDW	IL	743
MEI	MS	16
MEM	TN	258
MFE	TX	56
MFR	OR	48
MGM	AL	45
MHK	KS	24
MHT	NH	67
MIA	FL	1184
MKE	WI	356
MKG	MI	9
MLB	FL	33
MLI	IL	65
MLU	LA	35
MMH	CA	13
MOB	AL	69
MOT	ND	32
MQT	MI	28
MRY	CA	43
MSN	WI	204
MSO	MT	26
MSP	MN	1945
MSY	LA	654
MTJ	CO	45
MVY	MA	0
MYR	SC	75
OAJ	NC	29
OAK	CA	416
OGG	HI	293
OKC	OK	197
OMA	NE	323
OME	AK	4
ONT	CA	247
ORD	IL	4687
ORF	VA	291
ORH	MA	25
OTH	OR	8
OTZ	AK	6
PAH	KY	6
PBG	NY	22
PBI	FL	342
PDX	OR	538
PHF	VA	26
PHL	PA	1185
PHX	AZ	1873
PIA	IL	82
PIB	MS	5
PIH	ID	6
PIT	PA	448
PLN	MI	14
PNS	FL	134
PPG	AS	3
PSC	WA	45
PSE	PR	17
PSG	AK	13
PSP	CA	182
PUB	CO	7
PVD	RI	156
PWM	ME	160
RAP	SD	35
RDD	CA	22
RDM	OR	53
RDU	NC	623
RHI	WI	11
RIC	VA	290
RKS	WY	6
RNO	NV	140
ROA	VA	48
ROC	NY	163
ROW	NM	18
RST	MN	44
RSW	FL	572
SAF	NM	22
SAN	CA	748
SAT	TX	338
SAV	GA	153
SBA	CA	93
SBN	IN	83
SBP	CA	84
SCC	AK	16
SCE	PA	21
SDF	KY	223
SEA	WA	2155
SFO	CA	2163
SGF	MO	135
SGU	UT	33
SHV	LA	90
SIT	AK	21
SJC	CA	475
SJT	TX	27
SJU	PR	422
SLC	UT	1241
SMF	CA	428
SMX	CA	3
SNA	CA	376
SPI	IL	34
SPS	TX	13
SRQ	FL	156
STC	MN	5
STL	MO	719
STT	VI	67
STX	VI	16
SUN	ID	26
SUX	IA	30
SWF	NY	26
SYR	NY	147
TLH	FL	91
TOL	OH	26
TPA	FL	742
TRI	TN	41
TTN	NJ	48
TUL	OK	128
TUS	AZ	213
TVC	MI	58
TWF	ID	8
TXK	AR	14
TYR	TX	34
TYS	TN	199
UST	FL	0
VEL	UT	9
VLD	GA	18
VPS	FL	74
WRG	AK	13
WYS	MT	0
XNA	AR	166
YAK	AK	10
YUM	AZ	34